name,industry,office,size,review_counts,salaries_count,jobs_count,interviews_count,benefits_count,website,company_type,revenue,head_quarter,founded,interview_possitive,interview_negative,interview_neutral,interview_difficulty,benefits_score,rating,total_insurance_health_wellness_benefits,health_insurance,dental_insurance,FSA,vision insurance,HSA,life_insurance,supplemental_life_insurance,disability_insurance,occupational_accident_insurance,health_care_on_site,mental_health_care,retiree_health_and_medical,accidental_death_and_dismemberment_insurance,total_financial_retirement_benefits,pension_plan,plan_401K,retirement_plan,employee_stock_purcase_plan,performance_bonus,stock_options,equity_incentive_plan,supplemental_workers_compensation,charity_gift_matching,total_family_parenting_benefits,maternity_paternity_leave,work_from_home,fertility_assistance,dependent_care,adoption_assistance,childcare,flexible_hour,military_leave,family_medical_leave,unpaid_extended_leave,total_vacation_time_off_benefits,vacation_paid_time_off,sick_days,paid_holidays,volunteer_time_off,sabbatical,bereavement_leave,total_perk_discounts_benefits,employee_discount,free_lunch_or_snacks,employee_assistance_program,gym_membership,commuter_checks_and_assistance,pet_friendly_worksplace,mobile_phone_discount,company_car,company_social_events,travel_concierge,legal_assistance,total_professional_support_benefits,diversity_program,job_training,professional_development,apprenticeship,tuition_assistance,category,state,company_rank
Lunds & Byerlys,Grocery Stores & Supermarkets,1,1,280.0,316.0,117.0,41.0,75.0,https://www.lundsandbyerlys.com/,Private,1,"Minneapolis, MN",1939.0,0.85,0.05,0.1,2.3,3.2,4.1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,3,1,1,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,Retail, MN,1
CoxHealth,Health Care Services & Hospitals,3,3,271.0,432.0,1600.0,36.0,59.0,https://www.coxhealth.com/,Nonprofit Organization,1,"Springfield, MO",1906.0,0.81,0.08,0.11,2.8,3.3,4.1,10,1,1,1,1,1,1,1,1,0,1,0,0,1,4,0,1,1,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,1,1,3,1,1,0,0,0,1,3,0,0,0,1,0,0,1,0,1,0,0,2,0,1,0,0,1,Health Care Services & Hospitals, MO,1
Children's Hospital Los Angeles,Health Care Services & Hospitals,3,1,413.0,735.0,316.0,98.0,105.0,https://jobs.chla.org/,Nonprofit Organization,3,"Los Angeles, CA",1901.0,0.74,0.18,0.09,2.8,3.6,4.1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Health Care Services & Hospitals, CA,1
Synchrony,Banks & Credit Unions,23,3,1100.0,1500.0,53.0,302.0,502.0,https://www.synchronycareers.com/,Public,8,"Stamford, CT",2014.0,0.57,0.26,0.17,2.7,4.3,4.1,11,1,1,1,1,1,1,1,1,1,0,1,0,1,8,0,1,1,1,1,1,1,1,1,8,1,1,1,1,1,0,1,1,1,0,5,1,1,1,1,0,1,8,1,1,1,1,0,0,1,0,1,1,1,4,1,1,1,0,1,Finance, CT,1
ITC Infotech,IT Services,15,2,2100.0,1200.0,22.0,385.0,297.0,https://www.itcinfotech.com/,Subsidiary or Business Segment,1,"Bangalore, India",2000.0,0.59,0.25,0.16,2.8,2.9,4.1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Technology, India,1
Stony Brook University,Colleges & Universities,6,3,1100.0,1100.0,30.0,135.0,203.0,https://www.stonybrook.edu/,Education,4,"Stony Brook, NY",1957.0,0.79,0.03,0.18,2.2,3.8,4.1,8,1,1,0,1,1,1,0,0,0,0,1,1,1,2,1,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,1,3,1,1,1,0,0,0,3,1,0,0,0,0,0,1,0,1,0,0,3,0,1,1,0,1,Education, NY,1
Eaton Vance,Investment Banking & Asset Management,2,1,189.0,340.0,17.0,65.0,26.0,https://www.eatonvance.com/,Public,5,"Boston, MA",1924.0,0.73,0.13,0.15,2.8,4.5,4.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Finance, MA,2
Hospital for Special Surgery,Health Care Services & Hospitals,2,1,327.0,572.0,229.0,84.0,120.0,https://www.hss.edu/,Nonprofit Organization,1,"New York, NY",1863.0,0.7,0.16,0.14,2.7,4.1,4.1,5,1,1,1,1,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,4,1,0,0,1,0,0,1,0,1,0,3,1,1,1,0,0,0,3,0,0,1,0,1,0,0,0,1,0,0,3,0,1,1,0,1,Health Care Services & Hospitals, NY,1
Plante Moran,Accounting,25,1,362.0,931.0,65.0,177.0,82.0,https://www.plantemoran.com/,Private,4,"Southfield, MI",1924.0,0.8,0.08,0.12,2.6,3.9,4.2,3,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0,1,1,0,1,0,0,0,0,4,1,1,0,0,0,1,1,0,0,0,4,1,1,1,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0,4,1,1,1,0,1,Accounting & Legal, MI,2
Sharp HealthCare,Health Care Services & Hospitals,4,3,700.0,915.0,638.0,127.0,230.0,https://www.sharp.com/,Nonprofit Organization,5,"San Diego, CA",1946.0,0.73,0.17,0.1,2.8,4.3,4.2,4,1,1,0,1,0,1,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,3,1,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,3,1,0,1,0,1,Health Care Services & Hospitals, CA,2
Hillcrest Healthcare System,Health Care Services & Hospitals,10,1,95.0,164.0,286.0,13.0,43.0,https://www.hillcrest.com/,Subsidiary or Business Segment,2,"Tulsa, OK",1918.0,0.69,0.23,0.08,2.5,3.8,4.1,5,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,2,1,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Health Care Services & Hospitals, OK,1
St. John's University,Colleges & Universities,4,1,359.0,403.0,52.0,45.0,73.0,https://www.stjohns.edu/,Education,3,"Jamaica, NY",1952.0,0.83,0.03,0.15,2.1,4.0,4.2,3,1,1,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,1,Education, NY,2
Skanska,Construction,15,3,352.0,244.0,200.0,89.0,56.0,https://www.skanska.com/,Public,8,"Stockholm, Sweden",1987.0,0.63,0.19,0.18,2.9,4.0,4.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Construction, Sweden,1
